id_cp_interaction,partner_a,protein_name_a,receptor_symbol_a,partner_b,protein_name_b,TF_symbol_a,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class,Condition
,PTCH_GAS1_transmembrane_receptor ,,PTCH_GAS1_transmembrane_receptor ,,,GLI2,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,PTCH_GAS1_transmembrane_receptor ,,PTCH_GAS1_transmembrane_receptor ,,,GLI3,1,reactome;Uniprot;NetPath,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,,,RORA,,,RORA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,,,RORB,,,RORB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,,,RORC,,,RORC,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,TGFbeta_receptor1,,TGFbeta_receptor1,,,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,TGFbeta_receptor1,,TGFbeta_receptor1,,,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,TGFbeta_receptor2,,TGFbeta_receptor2,,,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,TGFbeta_receptor2,,TGFbeta_receptor2,,,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,,,THRA,,,THRA,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,,,THRB,,,THRB,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,,,TLR7,,,IRF5,1,PMID:15695821,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,,,TLR8,,,IRF5,1,PMID:15695821,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P19438,TNR1A_HUMAN,TNFRSF1A,,,NFKB1,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P20333,TNR1B_HUMAN,TNFRSF1B,,,NFKB1,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,Type_I_IFNR,,Type_I_IFNR,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,Type_I_IFNR,,Type_I_IFNR,,,STAT2,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
